station,window_start,window_end,asset_hint
RS03AXPS,2025-01-01T15:10:00Z,2025-01-01T15:20:00Z,ooi://RS03AXPS/2025/01/01/151000.mseed
RS03AXPS,2025-01-01T15:20:00Z,2025-01-01T15:30:00Z,ooi://RS03AXPS/2025/01/01/152000.mseed
RS03AXPS,2025-01-01T15:30:00Z,2025-01-01T15:40:00Z,ooi://RS03AXPS/2025/01/01/153000.mseed
RS03AXPS,2025-01-01T15:40:00Z,2025-01-01T15:50:00Z,ooi://RS03AXPS/2025/01/01/154000.mseed
RS03AXPS,2025-01-01T15:50:00Z,2025-01-01T16:00:00Z,ooi://RS03AXPS/2025/01/01/155000.mseed
RS03AXPS,2025-01-01T16:00:00Z,2025-01-01T16:10:00Z,ooi://RS03AXPS/2025/01/01/160000.mseed
RS03AXPS,2025-01-01T16:10:00Z,2025-01-01T16:20:00Z,ooi://RS03AXPS/2025/01/01/161000.mseed
RS03AXPS,2025-01-01T16:20:00Z,2025-01-01T16:30:00Z,ooi://RS03AXPS/2025/01/01/162000.mseed
RS03AXPS,2025-01-01T16:30:00Z,2025-01-01T16:40:00Z,ooi://RS03AXPS/2025/01/01/163000.mseed
RS03AXPS,2025-01-01T16:40:00Z,2025-01-01T16:50:00Z,ooi://RS03AXPS/2025/01/01/164000.mseed
RS03AXPS,2025-01-01T16:50:00Z,2025-01-01T17:00:00Z,ooi://RS03AXPS/2025/01/01/165000.mseed
RS03AXPS,2025-01-01T17:00:00Z,2025-01-01T17:10:00Z,ooi://RS03AXPS/2025/01/01/170000.mseed
RS03AXPS,2025-01-01T17:10:00Z,2025-01-01T17:20:00Z,ooi://RS03AXPS/2025/01/01/171000.mseed
RS03AXPS,2025-01-01T17:20:00Z,2025-01-01T17:30:00Z,ooi://RS03AXPS/2025/01/01/172000.mseed
RS03AXPS,2025-01-01T17:30:00Z,2025-01-01T17:40:00Z,ooi://RS03AXPS/2025/01/01/173000.mseed
RS03AXPS,2025-01-01T17:40:00Z,2025-01-01T17:50:00Z,ooi://RS03AXPS/2025/01/01/174000.mseed
RS03AXPS,2025-01-01T17:50:00Z,2025-01-01T18:00:00Z,ooi://RS03AXPS/2025/01/01/175000.mseed
RS03AXPS,2025-01-01T18:00:00Z,2025-01-01T18:10:00Z,ooi://RS03AXPS/2025/01/01/180000.mseed
RS03AXPS,2025-01-01T18:10:00Z,2025-01-01T18:20:00Z,ooi://RS03AXPS/2025/01/01/181000.mseed
RS03AXPS,2025-01-01T18:20:00Z,2025-01-01T18:30:00Z,ooi://RS03AXPS/2025/01/01/182000.mseed
RS03AXPS,2025-01-01T18:30:00Z,2025-01-01T18:40:00Z,ooi://RS03AXPS/2025/01/01/183000.mseed
RS03AXPS,2025-01-01T18:40:00Z,2025-01-01T18:50:00Z,ooi://RS03AXPS/2025/01/01/184000.mseed
RS03AXPS,2025-01-01T18:50:00Z,2025-01-01T19:00:00Z,ooi://RS03AXPS/2025/01/01/185000.mseed
